"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Digi-Key Part"
"C1","1","330pF","","","","iisi-riser-board:C_0805_2012Metric","","399-C0805C331J5GACTUCT-ND"
"C2,C3,C6","3","0.01uF","","","","iisi-riser-board:C_0805_2012Metric","","399-C0805C103K5RACTUCT-ND"
"C4","1","0.22uF","","","","Capacitor_SMD:C_1206_3216Metric","","445-2283-1-ND"
"C5","1","470pF","","","","iisi-riser-board:C_0805_2012Metric","","311-1119-1-ND"
"C7","1","3300pF","","","","iisi-riser-board:C_0805_2012Metric","","399-C0805C332J5GACTUCT-ND"
"C8","1","1000pF","","","","iisi-riser-board:C_0805_2012Metric","","399-C0805C102J5GACTUCT-ND"
"C9","1","33uF","","","","iisi-riser-board:CP_Elec","","565-4768-1-ND"
"C10","1","100uF","","","","iisi-riser-board:CP_Elec","","493-3967-1-ND"
"C11","1","?","DNP","","","iisi-riser-board:C_0805_2012Metric","",""
"D1","1","18V","","","","iisi-riser-board:SC-59-Diode","~","MMBZ5248B-FDICT-ND"
"D2","1","13V","","","","iisi-riser-board:SC-59-Diode","~","BZX84C13-FDICT-ND"
"D3","1","5.1V","","","","iisi-riser-board:SC-59-Diode","~","SZBZX84C5V1LT3GOSCT-ND"
"D4,D5","2","BAS16","","","","iisi-riser-board:SC-59-Diode","~","1727-2887-1-ND"
"D6","1","SB05-05C-TB-E","","","","iisi-riser-board:SC-59-Diode","~","SB05-05C-TB-EOSCT-ND"
"J1","1","Conn_01x10_Pin","","","","iisi-riser-board:EdgeConnector10","~","A122175CT-ND"
"Q1","1","DTA114E","","","","iisi-riser-board:SOT-346-Rohm","","DTA114EKAT146CT-ND"
"Q2","1","DTC124X","","","","iisi-riser-board:SOT-346-Rohm","","DTC124XKAT146CT-ND"
"Q3,Q4","2","2SC2412K","","","","iisi-riser-board:SOT-346-Rohm","~","2SC2412KT146RCT-ND"
"R1,R2","2","22k","","","","iisi-riser-board:R_0805_2012Metric","~","A129765CT-ND"
"R3,R6,R13,R15,R17","5","10k","","","","iisi-riser-board:R_0805_2012Metric","~","A129761CT-ND"
"R4,R16","2","4.7k","","","","iisi-riser-board:R_0805_2012Metric","~","A129757CT-ND"
"R5","1","100","","","","iisi-riser-board:R_0805_2012Metric","~","P100DACT-ND"
"R7","1","1k","","","","iisi-riser-board:R_0805_2012Metric","~","A129749CT-ND"
"R8","1","100k","","","","iisi-riser-board:R_0805_2012Metric","~","A129773CT-ND"
"R9","1","8.2","","","","iisi-riser-board:R_0805_2012Metric","~","13-RC0805FR-078R2LCT-ND"
"R10","1","220","","","","iisi-riser-board:R_0805_2012Metric","~","A129741CT-ND"
"R11","1","6.8k","","","","iisi-riser-board:R_0805_2012Metric","~","A127026CT-ND"
"R12","1","150k","","","","iisi-riser-board:R_0805_2012Metric","~","P150KACT-ND"
"R14","1","33k","","","","iisi-riser-board:R_0805_2012Metric","~","P33KDACT-ND"
"R18","1","47k","","","","iisi-riser-board:R_0805_2012Metric","~","311-47KARCT-ND"
"R19,R20,R21,R22","4","0","","","","iisi-riser-board:R_0805_2012Metric","~","P0.0ACT-ND"
"RV1","1","2.2k","","","","Potentiometer_SMD:Potentiometer_Bourns_TC33X_Vertical","~","118-TC33X-1-222ECT-ND"
"U1","1","M51977FP","","","","iisi-riser-board:SO-20_5.3x12.6mm_P1.27mm","",""
"U2","1","M51944BML","","","","Package_TO_SOT_SMD:SOT-89-3","",""
